hand_type: right; palm_pos: 71.6622,-42.827,-111.407; palm_vel: 0,0,0; palm_norm: -0.272759,-0.806998,-0.52379; palm_dir: -0.346047,0.59029,-0.729253; finger_type: 0; finger_1_pos: 52.4156,-71.8454,-80.1927; finger_1_dir: 36.4968,-13.7475,-23.864; finger_2_pos: 24.2087,-61.0733,-103.313; finger_2_dir: 19.917,-7.79676,-22.3757; finger_3_pos: 12.9864,-56.4724,-122.521; finger_3_dir: 2.52761,-1.40512,-16.0415; finger_type: 1; finger_1_pos: 38.0644,-19.2384,-131.548; finger_1_dir: 11.2494,-15.1283,-32.4566; finger_2_pos: 28.6969,-9.3319,-157.103; finger_2_dir: 7.48557,-4.6847,-18.6519; finger_3_pos: 22.9985,-5.18255,-171.348; finger_3_dir: 3.91132,-3.61399,-9.83807; finger_type: 2; finger_1_pos: 58.0239,-15.9199,-142.278; finger_1_dir: 9.97184,-19.9477,-35.3372; finger_2_pos: 49.2138,-2.67847,-171.008; finger_2_dir: 7.64843,-6.53504,-22.1234; finger_3_pos: 43.472,2.22745,-187.617; finger_3_dir: 3.83507,-3.2768,-11.0931; finger_type: 3; finger_1_pos: 78.2813,-23.5553,-147.325; finger_1_dir: 8.25935,-14.2758,-35.0474; finger_2_pos: 71.3622,-12.6919,-175.693; finger_2_dir: 5.57884,-7.45099,-21.6901; finger_3_pos: 66.5657,-8.49589,-192.309; finger_3_dir: 4.01429,-0.940962,-11.5403; finger_type: 4; finger_1_pos: 96.8676,-33.4065,-148.676; finger_1_dir: 5.76309,-10.558,-28.7174; finger_2_pos: 90.9192,-27.7835,-171.005; finger_2_dir: 6.13361,-0.688133,-15.9392; finger_3_pos: 84.4909,-32.1042,-180.649; finger_3_dir: 6.72308,9.32967,-3.34911; arm_pos: 156.121,-64.3983,54.1855; arm_dir: 103.438,20.3194,-225.745
hand_type: right; palm_pos: 77.8652,-47.6387,-115.167; palm_vel: -558.726,338.646,433.404; palm_norm: -0.203585,-0.822477,-0.531116; palm_dir: -0.299318,0.56879,-0.766085; finger_type: 0; finger_1_pos: 54.2361,-75.4043,-80.5663; finger_1_dir: 40.2713,-13.633,-16.2759; finger_2_pos: 21.8119,-64.2584,-97.1406; finger_2_dir: 24.577,-8.65887,-16.8727; finger_3_pos: 5.32995,-58.2578,-112.422; finger_3_dir: 8.38688,-3.34222,-13.6906; finger_type: 1; finger_1_pos: 41.147,-21.4149,-135.353; finger_1_dir: 18.6327,-22.531,-25.7253; finger_2_pos: 26.2325,-5.74085,-156.498; finger_2_dir: 11.1964,-8.81714,-16.5641; finger_3_pos: 17.5163,-0.371389,-169.749; finger_3_dir: 6.23595,-1.92178,-9.93909; finger_type: 2; finger_1_pos: 62.9998,-17.0945,-145.206; finger_1_dir: 13.02,-27.2801,-31.5027; finger_2_pos: 51.8338,2.49194,-171.362; finger_2_dir: 9.31217,-11.8928,-20.8089; finger_3_pos: 44.4663,10.2001,-187.442; finger_3_dir: 5.42271,-3.52351,-11.3521; finger_type: 3; finger_1_pos: 87.232,-22.864,-149.068; finger_1_dir: 4.3049,-24.4536,-31.978; finger_2_pos: 82.4584,-5.93873,-176.368; finger_2_dir: 5.24222,-9.39699,-22.623; finger_3_pos: 78.0201,-0.108532,-193.82; finger_3_dir: 3.63441,-2.2634,-12.2817; finger_type: 4; finger_1_pos: 109.785,-34.0759,-148.868; finger_1_dir: -5.48933,-18.1062,-25.8925; finger_2_pos: 112.927,-21.6364,-169.969; finger_2_dir: -0.794807,-6.77275,-16.3075; finger_3_pos: 112.612,-17.521,-184.048; finger_3_dir: 1.4242,-1.45802,-11.8519; arm_pos: 167.507,-74.0017,49.3941; arm_dir: 118.425,8.59599,-219.031
hand_type: right; palm_pos: 76.5511,-48.2079,-122.764; palm_vel: 118.349,684.283,51.264; palm_norm: -0.193277,-0.817885,-0.541948; palm_dir: -0.300155,0.57517,-0.760977; finger_type: 0; finger_1_pos: 52.0323,-76.964,-86.241; finger_1_dir: 42.7832,-11.5514,-10.6786; finger_2_pos: 17.2419,-67.4712,-98.5853; finger_2_dir: 26.7976,-7.4343,-14.01; finger_3_pos: -1.11129,-62.2758,-111.998; finger_3_dir: 9.90893,-2.95647,-12.8162; finger_type: 1; finger_1_pos: 37.6152,-21.6828,-141.35; finger_1_dir: 22.4146,-23.2124,-22.7094; finger_2_pos: 19.7322,-4.96876,-159.988; finger_2_dir: 13.3513,-10.2157,-14.5653; finger_3_pos: 9.31072,1.68858,-171.766; finger_3_dir: 7.49177,-3.09898,-8.99103; finger_type: 2; finger_1_pos: 60.4341,-16.8045,-151.834; finger_1_dir: 15.1224,-29.0328,-29.6918; finger_2_pos: 47.631,4.42922,-176.559; finger_2_dir: 10.4839,-13.4346,-19.7591; finger_3_pos: 39.3148,13.1154,-191.99; finger_3_dir: 6.14844,-3.93778,-11.1019; finger_type: 3; finger_1_pos: 85.6711,-21.9654,-155.772; finger_1_dir: 4.59402,-27.0639,-30.4039; finger_2_pos: 80.9517,-2.04617,-181.689; finger_2_dir: 4.8448,-12.7746,-21.4316; finger_3_pos: 76.804,6.4718,-198.406; finger_3_dir: 3.45066,-4.26138,-12.0025; finger_type: 4; finger_1_pos: 109.346,-33.2166,-155.968; finger_1_dir: -6.54519,-19.6137,-25.2365; finger_2_pos: 113.533,-19.1552,-176.564; finger_2_dir: -1.82703,-8.50904,-15.9549; finger_3_pos: 114.404,-12.955,-190.375; finger_3_dir: 0.0847092,-3.8914,-11.6676; arm_pos: 184.331,-106.815,25.7834; arm_dir: 152.244,-50.6416,-190.605
hand_type: right; palm_pos: 71.3414,-45.9976,-131.017; palm_vel: 468.751,742.526,-198.869; palm_norm: -0.184374,-0.810013,-0.556673; palm_dir: -0.319349,0.585023,-0.745496; finger_type: 0; finger_1_pos: 47.6549,-76.0874,-94.1012; finger_1_dir: 43.6688,-10.234,-8.09329; finger_2_pos: 12.2096,-67.6237,-104.917; finger_2_dir: 27.2218,-6.69326,-13.5376; finger_3_pos: -6.20035,-62.9432,-118.239; finger_3_dir: 9.59815,-2.66782,-13.1067; finger_type: 1; finger_1_pos: 31.0699,-20.1797,-148.402; finger_1_dir: 24.2412,-22.5321,-21.6119; finger_2_pos: 11.7769,-4.23834,-166.347; finger_2_dir: 14.3447,-9.35052,-14.2766; finger_3_pos: 0.664613,1.82767,-177.884; finger_3_dir: 7.87998,-2.78148,-8.79771; finger_type: 2; finger_1_pos: 53.9638,-14.261,-159.059; finger_1_dir: 16.6795,-29.4787,-28.5207; finger_2_pos: 39.9158,7.20681,-182.967; finger_2_dir: 11.4166,-13.457,-19.296; finger_3_pos: 30.9545,15.9832,-198.053; finger_3_dir: 6.50605,-4.09585,-10.8763; finger_type: 3; finger_1_pos: 79.3898,-18.4991,-163.204; finger_1_dir: 5.84995,-28.4629,-29.0249; finger_2_pos: 73.6637,2.61184,-188.079; finger_2_dir: 5.60226,-13.7591,-20.725; finger_3_pos: 68.9681,11.9374,-204.293; finger_3_dir: 3.78879,-4.89205,-11.7043; finger_type: 4; finger_1_pos: 103.474,-29.6453,-164.145; finger_1_dir: -5.84229,-20.4663,-24.7366; finger_2_pos: 107.028,-14.9431,-184.398; finger_2_dir: -1.26443,-8.93796,-15.7695; finger_3_pos: 107.431,-8.33784,-198.042; finger_3_dir: 0.458519,-4.27258,-11.5168; arm_pos: 182.455,-118.99,9.68776; arm_dir: 156.543,-76.5272,-178.075
hand_type: right; palm_pos: 64.2614,-42.8805,-138.843; palm_vel: 635.665,702.689,-279.864; palm_norm: -0.155385,-0.799687,-0.579962; palm_dir: -0.349943,0.593581,-0.724708; finger_type: 0; finger_1_pos: 42.3223,-75.3382,-102.759; finger_1_dir: 44.2444,-7.84768,-7.36441; finger_2_pos: 6.7461,-68.741,-113.734; finger_2_dir: 26.9079,-5.3467,-14.5856; finger_3_pos: -10.9049,-64.9668,-127.999; finger_3_dir: 8.39417,-2.20156,-13.9457; finger_type: 1; finger_1_pos: 23.0679,-18.3273,-155.308; finger_1_dir: 24.9901,-22.0104,-21.0433; finger_2_pos: 3.32684,-3.23668,-173.167; finger_2_dir: 14.492,-8.17075,-14.6751; finger_3_pos: -7.76099,1.82328,-185.056; finger_3_dir: 7.68364,-1.94915,-9.10202; finger_type: 2; finger_1_pos: 45.7364,-11.0336,-165.86; finger_1_dir: 17.3886,-29.616,-27.7511; finger_2_pos: 31.1511,10.1296,-189.464; finger_2_dir: 11.782,-12.7104,-19.4561; finger_3_pos: 22.031,18.379,-204.665; finger_3_dir: 6.45818,-3.78825,-10.9467; finger_type: 3; finger_1_pos: 70.9702,-14.1495,-170.199; finger_1_dir: 7.11643,-28.9367,-28.1285; finger_2_pos: 64.3084,7.33389,-194.401; finger_2_dir: 6.20703,-14.0301,-20.2757; finger_3_pos: 59.2114,16.8782,-210.3; finger_3_dir: 3.98703,-5.05849,-11.5219; finger_type: 4; finger_1_pos: 95.0243,-24.5404,-171.771; finger_1_dir: -4.26934,-20.985,-24.4049; finger_2_pos: 97.2783,-9.61485,-191.812; finger_2_dir: -0.238586,-8.86607,-15.6754; finger_3_pos: 96.7626,-3.24419,-205.398; finger_3_dir: 1.26985,-3.87524,-11.4972; arm_pos: 175.445,-122.196,-0.924889; arm_dir: 153.669,-87.9423,-175.285
hand_type: right; palm_pos: 57.0125,-39.4841,-145.403; palm_vel: 653,590.886,-305.958; palm_norm: -0.126779,-0.787065,-0.603702; palm_dir: -0.387512,0.599547,-0.70027; finger_type: 0; finger_1_pos: 37.3091,-74.0657,-110.51; finger_1_dir: 44.5086,-6.01934,-7.3208; finger_2_pos: 1.5966,-68.7432,-121.535; finger_2_dir: 26.9163,-4.62558,-14.7291; finger_3_pos: -16.0883,-65.2626,-135.828; finger_3_dir: 8.45349,-2.33575,-13.8569; finger_type: 1; finger_1_pos: 15.1316,-16.3151,-161.069; finger_1_dir: 25.1831,-21.579,-21.0303; finger_2_pos: -4.57073,-1.81233,-179.176; finger_2_dir: 14.2216,-7.4265,-15.1828; finger_3_pos: -15.3427,2.68118,-191.467; finger_3_dir: 7.32231,-1.56051,-9.39929; finger_type: 2; finger_1_pos: 37.3257,-7.64568,-171.426; finger_1_dir: 17.8201,-29.6804,-27.2168; finger_2_pos: 22.4861,13.2327,-194.883; finger_2_dir: 11.8592,-12.0765,-19.6985; finger_3_pos: 13.4074,21.0671,-210.255; finger_3_dir: 6.29817,-3.59221,-11.0444; finger_type: 3; finger_1_pos: 62.111,-9.60703,-175.967; finger_1_dir: 8.50779,-29.1884,-27.3086; finger_2_pos: 54.3754,11.9462,-199.619; finger_2_dir: 6.96337,-13.9181,-19.9958; finger_3_pos: 48.7576,21.3753,-215.326; finger_3_dir: 4.27211,-4.94019,-11.4174; finger_type: 4; finger_1_pos: 86.0404,-18.9661,-178.242; finger_1_dir: -2.36163,-21.503,-24.0632; finger_2_pos: 86.821,-3.81533,-198.062; finger_2_dir: 0.800385,-8.79862,-15.5772; finger_3_pos: 85.4539,2.34985,-211.578; finger_3_dir: 1.93373,-3.53173,-11.4543; arm_pos: 167.441,-121.077,-7.77441; arm_dir: 148.536,-92.1917,-177.513
hand_type: right; palm_pos: 50.407,-36.8933,-152.065; palm_vel: 594.822,599.918,-233.293; palm_norm: -0.0923285,-0.774156,-0.626226; palm_dir: -0.420421,0.600412,-0.680259; finger_type: 0; finger_1_pos: 32.6856,-73.4639,-118.436; finger_1_dir: 44.6552,-4.09406,-7.66695; finger_2_pos: -3.43067,-69.575,-129.114; finger_2_dir: 27.5773,-3.68372,-13.6886; finger_3_pos: -22.145,-66.5598,-142.398; finger_3_dir: 9.85134,-2.34674,-12.8783; finger_type: 1; finger_1_pos: 7.90258,-15.4093,-167.533; finger_1_dir: 25.2947,-20.7796,-21.622; finger_2_pos: -11.7447,-1.4411,-186.083; finger_2_dir: 13.9998,-7.15671,-15.4764; finger_3_pos: -22.3137,2.96339,-198.574; finger_3_dir: 7.1382,-1.65228,-9.50661; finger_type: 2; finger_1_pos: 29.6285,-5.283,-177.413; finger_1_dir: 18.244,-29.5607,-27.0021; finger_2_pos: 14.5794,15.4612,-200.792; finger_2_dir: 11.8543,-11.9277,-19.7572; finger_3_pos: 5.56447,23.3203,-216.185; finger_3_dir: 6.17552,-3.79058,-11.0292; finger_type: 3; finger_1_pos: 54.1178,-6.00369,-181.891; finger_1_dir: 9.58685,-29.3393,-26.695; finger_2_pos: 45.5785,15.5595,-205.158; finger_2_dir: 7.49186,-13.787,-19.8377; finger_3_pos: 39.625,24.9251,-220.743; finger_3_dir: 4.41511,-4.94412,-11.3339; finger_type: 4; finger_1_pos: 78.2021,-14.1969,-184.523; finger_1_dir: -1.22118,-21.9905,-23.6402; finger_2_pos: 78.2634,1.31909,-204.028; finger_2_dir: 1.09862,-9.04148,-15.3709; finger_3_pos: 76.7785,7.71993,-217.398; finger_3_dir: 1.87115,-3.76021,-11.3678; arm_pos: 160.688,-118.724,-14.3093; arm_dir: 145.046,-93.1993,-179.857
hand_type: right; palm_pos: 44.7453,-35.2649,-158.198; palm_vel: 509.145,551.573,-146.445; palm_norm: -0.0588764,-0.765001,-0.641332; palm_dir: -0.45237,0.593143,-0.66599; finger_type: 0; finger_1_pos: 28.9724,-73.3093,-125.448; finger_1_dir: 44.736,-2.32149,-7.93873; finger_2_pos: -7.54986,-70.8484,-135.608; finger_2_dir: 28.3085,-2.6002,-12.3805; finger_3_pos: -27.3283,-68.5085,-147.661; finger_3_dir: 11.2483,-2.07975,-11.726; finger_type: 1; finger_1_pos: 1.55229,-15.0679,-173.007; finger_1_dir: 25.6613,-20.9067,-21.0142; finger_2_pos: -18.4054,-0.703482,-190.956; finger_2_dir: 14.2541,-7.82213,-14.8844; finger_3_pos: -29.2086,4.32197,-203.002; finger_3_dir: 7.35224,-2.22877,-9.20802; finger_type: 2; finger_1_pos: 22.7239,-3.97342,-182.844; finger_1_dir: 19.0301,-29.5863,-26.3885; finger_2_pos: 7.11824,16.9711,-205.69; finger_2_dir: 12.1811,-12.3027,-19.3038; finger_3_pos: -2.12773,25.23,-220.735; finger_3_dir: 6.31085,-4.21518,-10.7859; finger_type: 3; finger_1_pos: 47.014,-3.6187,-187.447; finger_1_dir: 10.7317,-29.4,-26.1322; finger_2_pos: 37.6172,17.9372,-210.329; finger_2_dir: 8.06194,-13.7119,-19.631; finger_3_pos: 31.2865,27.3157,-225.744; finger_3_dir: 4.59961,-5.04508,-11.1992; finger_type: 4; finger_1_pos: 71.3676,-10.6481,-190.336; finger_1_dir: -0.313347,-22.429,-23.2193; finger_2_pos: 70.8313,5.19406,-209.543; finger_2_dir: 1.3859,-9.25542,-15.1954; finger_3_pos: 69.2353,11.9086,-222.752; finger_3_dir: 1.80609,-4.17373,-11.2221; arm_pos: 154.872,-115.393,-19.3322; arm_dir: 141.655,-91.465,-183.415
hand_type: right; palm_pos: 39.142,-33.891,-163.863; palm_vel: 506.027,511.6,-124.073; palm_norm: -0.0326535,-0.755117,-0.654776; palm_dir: -0.47867,0.586921,-0.652992; finger_type: 0; finger_1_pos: 24.9312,-73.0668,-131.583; finger_1_dir: 44.8715,-1.03558,-7.50758; finger_2_pos: -11.9986,-71.6817,-140.795; finger_2_dir: 28.9881,-1.73464,-10.9167; finger_3_pos: -32.6403,-69.9144,-151.599; finger_3_dir: 12.2955,-1.80001,-10.6899; finger_type: 1; finger_1_pos: -4.73085,-14.8045,-177.981; finger_1_dir: 26.2681,-20.9189,-20.26; finger_2_pos: -25.1924,-0.39878,-195.345; finger_2_dir: 14.655,-7.89251,-14.4669; finger_3_pos: -36.3426,4.7969,-207.03; finger_3_dir: 7.64535,-2.49884,-8.90317; finger_type: 2; finger_1_pos: 15.9238,-2.80246,-187.674; finger_1_dir: 20.038,-29.7656,-25.427; finger_2_pos: -0.493826,18.3068,-209.791; finger_2_dir: 12.7973,-12.453,-18.8064; finger_3_pos: -10.2018,26.7685,-224.443; finger_3_dir: 6.61862,-4.47026,-10.4981; finger_type: 3; finger_1_pos: 40.0941,-1.43582,-192.318; finger_1_dir: 11.8635,-29.8513,-25.0876; finger_2_pos: 29.7702,20.3383,-214.52; finger_2_dir: 8.78429,-13.697,-19.316; finger_3_pos: 22.9247,29.768,-229.682; finger_3_dir: 4.90668,-5.16221,-11.0085; finger_type: 4; finger_1_pos: 64.6834,-7.55417,-195.553; finger_1_dir: 0.533096,-23.0755,-22.5527; finger_2_pos: 63.4599,8.66637,-214.359; finger_2_dir: 1.91392,-9.36557,-15.0587; finger_3_pos: 61.4904,15.5894,-227.419; finger_3_dir: 2.02507,-4.48058,-11.0611; arm_pos: 149.942,-111.601,-24.3024; arm_dir: 140.34,-88.1418,-186.034
hand_type: right; palm_pos: 33.6072,-32.222,-168.899; palm_vel: 496.267,451.459,-149.649; palm_norm: -0.0169454,-0.746195,-0.665512; palm_dir: -0.50112,0.582313,-0.640149; finger_type: 0; finger_1_pos: 20.6944,-72.5106,-136.926; finger_1_dir: 44.9934,0.41021,-6.93329; finger_2_pos: -16.4904,-72.3819,-145.413; finger_2_dir: 29.3764,-0.667694,-10.0393; finger_3_pos: -37.5562,-71.4039,-155.554; finger_3_dir: 12.7551,-1.28835,-10.2424; finger_type: 1; finger_1_pos: -10.8491,-14.0004,-182.267; finger_1_dir: 26.8914,-20.8613,-19.5343; finger_2_pos: -31.8032,0.2364,-199.172; finger_2_dir: 15.0169,-7.61231,-14.2743; finger_3_pos: -43.2275,5.21701,-210.707; finger_3_dir: 7.83155,-2.34891,-8.79715; finger_type: 2; finger_1_pos: 9.406,-1.30472,-191.977; finger_1_dir: 20.8821,-29.8747,-24.6475; finger_2_pos: -7.69068,19.8169,-213.565; finger_2_dir: 13.3112,-12.3686,-18.5279; finger_3_pos: -17.7773,28.2162,-228.015; finger_3_dir: 6.86202,-4.43,-10.3726; finger_type: 3; finger_1_pos: 33.4604,0.726416,-196.875; finger_1_dir: 12.7608,-29.9723,-24.5157; finger_2_pos: 22.4169,22.4855,-218.724; finger_2_dir: 9.32622,-13.5459,-19.1824; finger_3_pos: 15.1832,31.8169,-233.781; finger_3_dir: 5.14115,-5.11679,-10.9305; finger_type: 4; finger_1_pos: 58.1864,-4.77413,-200.533; finger_1_dir: 1.22004,-23.1859,-22.4228; finger_2_pos: 56.4272,11.4169,-219.304; finger_2_dir: 2.2984,-9.19622,-15.1204; finger_3_pos: 54.1755,18.2321,-232.391; finger_3_dir: 2.20491,-4.43408,-11.0527; arm_pos: 145.646,-108.835,-29.8175; arm_dir: 140.42,-86.9542,-186.532
hand_type: right; palm_pos: 28.7443,-30.5469,-173.127; palm_vel: 439.685,382.351,-151.449; palm_norm: -0.00807383,-0.734022,-0.679078; palm_dir: -0.522647,0.582057,-0.622937; finger_type: 0; finger_1_pos: 17.0638,-71.4291,-141.749; finger_1_dir: 45.0783,0.507904,-6.48326; finger_2_pos: -20.2539,-71.2913,-149.775; finger_2_dir: 29.5571,-0.783478,-9.5705; finger_3_pos: -41.5387,-70.1299,-159.512; finger_3_dir: 13.0126,-1.53931,-9.90373; finger_type: 1; finger_1_pos: -16.182,-12.6495,-185.192; finger_1_dir: 27.4157,-21.5712,-17.9701; finger_2_pos: -37.5966,2.12971,-200.992; finger_2_dir: 15.4134,-7.98716,-13.6316; finger_3_pos: -49.3459,7.43764,-212.049; finger_3_dir: 8.08539,-2.62869,-8.48242; finger_type: 2; finger_1_pos: 3.44014,0.205306,-195.252; finger_1_dir: 22.0791,-29.8048,-23.6716; finger_2_pos: -14.6185,21.2862,-216.085; finger_2_dir: 14.0382,-12.3569,-17.9941; finger_3_pos: -25.2504,29.7867,-230.096; finger_3_dir: 7.22575,-4.64403,-10.0284; finger_type: 3; finger_1_pos: 27.4323,2.90002,-200.464; finger_1_dir: 13.847,-30.0812,-23.7622; finger_2_pos: 15.5317,24.8713,-221.657; finger_2_dir: 9.95432,-13.8615,-18.6235; finger_3_pos: 7.82966,34.5114,-236.283; finger_3_dir: 5.44973,-5.41861,-10.6276; finger_type: 4; finger_1_pos: 52.2503,-1.96296,-204.553; finger_1_dir: 2.07551,-23.5148,-21.9808; finger_2_pos: 49.8647,14.6257,-222.913; finger_2_dir: 2.69562,-9.66243,-14.739; finger_3_pos: 47.2678,21.8184,-235.712; finger_3_dir: 2.49825,-4.7231,-10.86; arm_pos: 142.149,-105.87,-34.6647; arm_dir: 140.776,-84.8467,-187.233
